source_dir,area,source_name,dataset_name,valid_images,points,observations,gcps,checkpoints,gcp_observations,cameras,photogroups,camera_models,source_format,source_software,image_index,source_image_ids_contiguous,source_bytes
C:\zuo\Projects\BA\Colmap_Output\KITTI\City\2011_09_26\2011_09_26_drive_0104_extract,ba-colmap,KITTI/City/2011_09_26/2011_09_26_drive_0104_extract,ba-colmap-problem-i318-p116719-o944270-g0-c0,318,116719,944270,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,105673498
C:\zuo\Projects\BA\Colmap_Output\KITTI\City\2011_09_26\2011_09_26_drive_0106_extract,ba-colmap,KITTI/City/2011_09_26/2011_09_26_drive_0106_extract,ba-colmap-problem-i182-p61229-o536547-g0-c0,182,61229,536547,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,61239155
C:\zuo\Projects\BA\Colmap_Output\KITTI\City\2011_09_26\2011_09_26_drive_0113_extract,ba-colmap,KITTI/City/2011_09_26/2011_09_26_drive_0113_extract,ba-colmap-problem-i93-p30075-o304632-g0-c0,93,30075,304632,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,33053636
C:\zuo\Projects\BA\Colmap_Output\KITTI\City\2011_09_26\2011_09_26_drive_0117_extract,ba-colmap,KITTI/City/2011_09_26/2011_09_26_drive_0117_extract,ba-colmap-problem-i666-p277186-o2463910-g0-c0,666,277186,2463910,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,264042637
C:\zuo\Projects\BA\Colmap_Output\KITTI\City\2011_09_28\2011_09_28_drive_0001_extract,ba-colmap,KITTI/City/2011_09_28/2011_09_28_drive_0001_extract,ba-colmap-problem-i96-p37223-o310438-g0-c0,96,37223,310438,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,32158951
C:\zuo\Projects\BA\Colmap_Output\KITTI\City\2011_09_28\2011_09_28_drive_0002_extract,ba-colmap,KITTI/City/2011_09_28/2011_09_28_drive_0002_extract,ba-colmap-problem-i92-p34349-o238053-g0-c0,92,34349,238053,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,33507398
C:\zuo\Projects\BA\Colmap_Output\KITTI\City\2011_09_29\2011_09_29_drive_0026_extract,ba-colmap,KITTI/City/2011_09_29/2011_09_29_drive_0026_extract,ba-colmap-problem-i36-p10398-o82804-g0-c0,36,10398,82804,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,9691396
C:\zuo\Projects\BA\Colmap_Output\KITTI\City\2011_09_29\2011_09_29_drive_0071_extract,ba-colmap,KITTI/City/2011_09_29/2011_09_29_drive_0071_extract,ba-colmap-problem-i666-p188271-o2163574-g0-c0,666,188271,2163574,0,0,0,666,666,OPENCV,COLMAP text,COLMAP,row,0,204216085
C:\zuo\Projects\BA\Colmap_Output\KITTI\Residential\2011_09_26_drive_0019_extract\00,ba-colmap,KITTI/Residential/2011_09_26_drive_0019_extract/00,ba-colmap-problem-i411-p215683-o1470364-g0-c0,411,215683,1470364,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,192492507
C:\zuo\Projects\BA\Colmap_Output\KITTI\Residential\2011_09_26_drive_0019_extract\01,ba-colmap,KITTI/Residential/2011_09_26_drive_0019_extract/01,ba-colmap-problem-i411-p204010-o1376036-g0-c0,411,204010,1376036,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,189069833
C:\zuo\Projects\BA\Colmap_Output\KITTI\Residential\2011_09_26_drive_0019_extract\02,ba-colmap,KITTI/Residential/2011_09_26_drive_0019_extract/02,ba-colmap-problem-i411-p216232-o1386288-g0-c0,411,216232,1386288,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,230949678
C:\zuo\Projects\BA\Colmap_Output\KITTI\Residential\2011_09_26_drive_0019_extract\03,ba-colmap,KITTI/Residential/2011_09_26_drive_0019_extract/03,ba-colmap-problem-i411-p214826-o1410213-g0-c0,411,214826,1410213,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,236721589
C:\zuo\Projects\BA\Colmap_Output\KITTI\VisualOdometry\data_odometry_gray\sequences\00,ba-colmap,KITTI/VisualOdometry/data_odometry_gray/sequences/00,ba-colmap-problem-i4541-p895388-o7478198-g0-c0,4541,895388,7478198,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,855453594
C:\zuo\Projects\BA\Colmap_Output\KITTI\VisualOdometry\data_odometry_gray\sequences\01,ba-colmap,KITTI/VisualOdometry/data_odometry_gray/sequences/01,ba-colmap-problem-i1101-p193680-o1208214-g0-c0,1101,193680,1208214,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,150638582
C:\zuo\Projects\BA\Colmap_Output\KITTI\VisualOdometry\data_odometry_gray\sequences\03,ba-colmap,KITTI/VisualOdometry/data_odometry_gray/sequences/03,ba-colmap-problem-i801-p239803-o2098512-g0-c0,801,239803,2098512,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,216997590
C:\zuo\Projects\BA\Colmap_Output\KITTI\VisualOdometry\data_odometry_gray\sequences\04,ba-colmap,KITTI/VisualOdometry/data_odometry_gray/sequences/04,ba-colmap-problem-i271-p67749-o465547-g0-c0,271,67749,465547,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,55455758
C:\zuo\Projects\BA\Colmap_Output\KITTI\VisualOdometry\data_odometry_gray\sequences\05,ba-colmap,KITTI/VisualOdometry/data_odometry_gray/sequences/05,ba-colmap-problem-i2685-p677403-o4999486-g0-c0,2685,677403,4999486,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,572100418
C:\zuo\Projects\BA\Colmap_Output\KITTI\VisualOdometry\data_odometry_gray\sequences\06,ba-colmap,KITTI/VisualOdometry/data_odometry_gray/sequences/06,ba-colmap-problem-i1101-p258010-o1638008-g0-c0,1101,258010,1638008,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,220475842
C:\zuo\Projects\BA\Colmap_Output\KITTI\VisualOdometry\data_odometry_gray\sequences\07,ba-colmap,KITTI/VisualOdometry/data_odometry_gray/sequences/07,ba-colmap-problem-i947-p223155-o1703851-g0-c0,947,223155,1703851,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,183462927
C:\zuo\Projects\BA\Colmap_Output\KITTI\VisualOdometry\data_odometry_gray\sequences\09,ba-colmap,KITTI/VisualOdometry/data_odometry_gray/sequences/09,ba-colmap-problem-i1591-p399283-o2553063-g0-c0,1591,399283,2553063,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,341072120
C:\zuo\Projects\BA\Colmap_Output\KITTI\VisualOdometry\data_odometry_gray\sequences\10,ba-colmap,KITTI/VisualOdometry/data_odometry_gray/sequences/10,ba-colmap-problem-i1201-p307748-o2252876-g0-c0,1201,307748,2252876,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,264813097
C:\zuo\Projects\BA\Colmap_Output\KITTI\VisualOdometry\data_odometry_gray\sequences\11,ba-colmap,KITTI/VisualOdometry/data_odometry_gray/sequences/11,ba-colmap-problem-i921-p201649-o1308715-g0-c0,921,201649,1308715,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,163370762
C:\zuo\Projects\BA\Colmap_Output\KITTI\VisualOdometry\data_odometry_gray\sequences\12,ba-colmap,KITTI/VisualOdometry/data_odometry_gray/sequences/12,ba-colmap-problem-i1014-p196142-o1349669-g0-c0,1014,196142,1349669,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,208001662
C:\zuo\Projects\BA\Colmap_Output\KITTI\VisualOdometry\data_odometry_gray\sequences\14,ba-colmap,KITTI/VisualOdometry/data_odometry_gray/sequences/14,ba-colmap-problem-i631-p200820-o1314726-g0-c0,631,200820,1314726,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,165041849
C:\zuo\Projects\BA\Colmap_Output\KITTI\VisualOdometry\data_odometry_gray\sequences\15,ba-colmap,KITTI/VisualOdometry/data_odometry_gray/sequences/15,ba-colmap-problem-i1901-p500463-o3569903-g0-c0,1901,500463,3569903,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,415226434
C:\zuo\Projects\BA\Colmap_Output\MyProject\frjd1,ba-colmap,MyProject/frjd1,ba-colmap-problem-i2837-p2701691-o13212297-g0-c0,2837,2701691,13212297,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,1513443163
C:\zuo\Projects\BA\Colmap_Output\MyProject\frjd2,ba-colmap,MyProject/frjd2,ba-colmap-problem-i1825-p1811213-o8678088-g0-c0,1825,1811213,8678088,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,971415559
C:\zuo\Projects\BA\Colmap_Output\ODMData\20190411_Miaoli_Toufeng_Tuniu-River_5.75K,ba-colmap,ODMData/20190411_Miaoli_Toufeng_Tuniu-River_5.75K,ba-colmap-problem-i271-p118208-o591140-g0-c0,271,118208,591140,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,119152604
C:\zuo\Projects\BA\Colmap_Output\ODMData\20190916_Miaoli_Toufeng_Tuniu-River_5.75K,ba-colmap,ODMData/20190916_Miaoli_Toufeng_Tuniu-River_5.75K,ba-colmap-problem-i297-p122943-o598702-g0-c0,297,122943,598702,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,128951877
C:\zuo\Projects\BA\Colmap_Output\ODMData\agrowing_multispectral_set\1,ba-colmap,ODMData/agrowing_multispectral_set/1,ba-colmap-problem-i51-p36428-o111983-g0-c0,51,36428,111983,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,20841461
C:\zuo\Projects\BA\Colmap_Output\ODMData\agrowing_multispectral_set\2,ba-colmap,ODMData/agrowing_multispectral_set/2,ba-colmap-problem-i51-p38015-o117097-g0-c0,51,38015,117097,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,21917783
C:\zuo\Projects\BA\Colmap_Output\ODMData\Belair M1 ShoretoRd Alt50 Ov75 CPURed25gb 15000pt pmsv off,ba-colmap,ODMData/Belair M1 ShoretoRd Alt50 Ov75 CPURed25gb 15000pt pmsv off,ba-colmap-problem-i308-p245243-o1529193-g0-c0,308,245243,1529193,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,165951549
C:\zuo\Projects\BA\Colmap_Output\ODMData\Conch-master,ba-colmap,ODMData/Conch-master,ba-colmap-problem-i88-p46484-o282357-g0-c0,88,46484,282357,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,42297373
C:\zuo\Projects\BA\Colmap_Output\ODMData\dataset_banana,ba-colmap,ODMData/dataset_banana,ba-colmap-problem-i15-p6891-o24406-g0-c0,15,6891,24406,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,0,7327662
C:\zuo\Projects\BA\Colmap_Output\ODMData\drone_dataset_brighton_beach,ba-colmap,ODMData/drone_dataset_brighton_beach,ba-colmap-problem-i18-p5509-o22356-g0-c0,18,5509,22356,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,7767439
C:\zuo\Projects\BA\Colmap_Output\ODMData\drone_dataset_sand_key-master,ba-colmap,ODMData/drone_dataset_sand_key-master,ba-colmap-problem-i100-p113862-o703050-g0-c0,100,113862,703050,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,71156867
C:\zuo\Projects\BA\Colmap_Output\ODMData\drone_dataset_sheffield_cross-master,ba-colmap,ODMData/drone_dataset_sheffield_cross-master,ba-colmap-problem-i172-p103240-o850478-g0-c0,172,103240,850478,0,0,0,1,1,OPENCV,COLMAP text,COLMAP,row,1,84188983
