source_xml,area,source_name,dataset_name,valid_images,points,observations,gcps,checkpoints,gcp_observations,photogroups,source_software_vendor,source_software
C:\zuo\Projects\REL\2053516311882891265\REL_AT\AT.xml,rel,2053516311882891265,rel-problem-i1046-p24183-o77561-g0-c0,1046,24183,77561,0,0,0,3,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2053625280035028993\REL_AT\AT.xml,rel,2053625280035028993,rel-problem-i1446-p80704-o720939-g0-c0,1446,80704,720939,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2053731569784324097\REL_AT\AT.xml,rel,2053731569784324097,rel-problem-i2360-p70175-o1628503-g0-c0,2360,70175,1628503,0,0,0,2,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2053732440026906625\REL_AT\AT.xml,rel,2053732440026906625,rel-problem-i1243-p68824-o440515-g0-c0,1243,68824,440515,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2053744669338107905\REL_AT\AT.xml,rel,2053744669338107905,rel-problem-i1343-p80558-o494838-g0-c0,1343,80558,494838,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2053774245334351873\REL_AT\AT.xml,rel,2053774245334351873,rel-problem-i1758-p120960-o597088-g0-c0,1758,120960,597088,0,0,0,3,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2053820641894727681\REL_AT\AT.xml,rel,2053820641894727681,rel-problem-i3056-p170431-o841546-g0-c0,3056,170431,841546,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2053988985209880577\REL_AT\AT.xml,rel,2053988985209880577,rel-problem-i4834-p270617-o1883137-g0-c0,4834,270617,1883137,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2054002160722509825\REL_AT\AT.xml,rel,2054002160722509825,rel-problem-i3013-p179937-o808424-g0-c0,3013,179937,808424,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2054060781959380993\REL_AT\AT.xml,rel,2054060781959380993,rel-problem-i4045-p263728-o1667630-g0-c0,4045,263728,1667630,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2054071390478270465\REL_AT\AT.xml,rel,2054071390478270465,rel-problem-i1220-p75461-o507289-g0-c0,1220,75461,507289,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2054073136374087681\REL_AT\AT.xml,rel,2054073136374087681,rel-problem-i1864-p71240-o979834-g0-c0,1864,71240,979834,0,0,0,2,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2054104455879589889\REL_AT\AT.xml,rel,2054104455879589889,rel-problem-i1348-p68678-o566723-g0-c0,1348,68678,566723,0,0,0,3,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2054176352541605889\REL_AT\AT.xml,rel,2054176352541605889,rel-problem-i3624-p278888-o1063463-g0-c0,3624,278888,1063463,0,0,0,5,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2054202047451889665\REL_AT\AT.xml,rel,2054202047451889665,rel-problem-i3269-p187878-o909825-g0-c0,3269,187878,909825,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2054202326163390465\REL_AT\AT.xml,rel,2054202326163390465,rel-problem-i1399-p95478-o488492-g0-c0,1399,95478,488492,0,0,0,2,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2054222164214677505\REL_AT\AT.xml,rel,2054222164214677505,rel-problem-i1986-p55566-o1351247-g0-c0,1986,55566,1351247,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2054362586052296705\REL_AT\AT.xml,rel,2054362586052296705,rel-problem-i2840-p72188-o2033733-g0-c0,2840,72188,2033733,0,0,0,2,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2054374020433838081\REL_AT\AT.xml,rel,2054374020433838081,rel-problem-i2481-p78165-o1435953-g0-c0,2481,78165,1435953,0,0,0,2,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2054382113607647233\REL_AT\AT.xml,rel,2054382113607647233,rel-problem-i3322-p133611-o821831-g0-c0,3322,133611,821831,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2054399764170014721\REL_AT\AT.xml,rel,2054399764170014721,rel-problem-i1435-p83799-o611876-g0-c0,1435,83799,611876,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2054424548463345665\REL_AT\AT.xml,rel,2054424548463345665,rel-problem-i1972-p100356-o894084-g0-c0,1972,100356,894084,0,0,0,2,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2054440536068063233\REL_AT\AT.xml,rel,2054440536068063233,rel-problem-i2556-p87723-o1628488-g0-c0,2556,87723,1628488,0,0,0,2,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2054473699456712705\REL_AT\AT.xml,rel,2054473699456712705,rel-problem-i2734-p174279-o876762-g0-c0,2734,174279,876762,0,0,0,5,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2054476647863681025\REL_AT\AT.xml,rel,2054476647863681025,rel-problem-i1610-p76757-o620589-g0-c0,1610,76757,620589,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2054494567083802625\REL_AT\AT.xml,rel,2054494567083802625,rel-problem-i1641-p103342-o697064-g0-c0,1641,103342,697064,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2054519180702515201\REL_AT\AT.xml,rel,2054519180702515201,rel-problem-i2354-p95546-o1364959-g0-c0,2354,95546,1364959,0,0,0,2,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2054578352726999041\REL_AT\AT.xml,rel,2054578352726999041,rel-problem-i1467-p29913-o1114554-g0-c0,1467,29913,1114554,0,0,0,3,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2054818354643861505\REL_AT\AT.xml,rel,2054818354643861505,rel-problem-i1475-p77663-o724356-g0-c0,1475,77663,724356,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2054841066296705025\REL_AT\AT.xml,rel,2054841066296705025,rel-problem-i2272-p125599-o858529-g0-c0,2272,125599,858529,0,0,0,2,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2054937558571286529\REL_AT\AT.xml,rel,2054937558571286529,rel-problem-i1243-p43388-o785136-g0-c0,1243,43388,785136,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2054959861107523585\REL_AT\AT.xml,rel,2054959861107523585,rel-problem-i1017-p41113-o539416-g0-c0,1017,41113,539416,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2054987552275824641\REL_AT\AT.xml,rel,2054987552275824641,rel-problem-i1610-p65669-o919651-g0-c0,1610,65669,919651,0,0,0,3,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2055093435357986817\REL_AT\AT.xml,rel,2055093435357986817,rel-problem-i1380-p89360-o551987-g0-c0,1380,89360,551987,0,0,0,3,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2055275406222688257\REL_AT\AT.xml,rel,2055275406222688257,rel-problem-i1054-p70822-o398911-g0-c0,1054,70822,398911,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2055857304292556801\REL_AT\AT.xml,rel,2055857304292556801,rel-problem-i1686-p71349-o941667-g0-c0,1686,71349,941667,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2055928625131159553\REL_AT\AT.xml,rel,2055928625131159553,rel-problem-i1823-p144916-o506449-g0-c0,1823,144916,506449,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2055987937346060289\REL_AT\AT.xml,rel,2055987937346060289,rel-problem-i1119-p50023-o324800-g0-c0,1119,50023,324800,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2056561789805527041\REL_AT\AT.xml,rel,2056561789805527041,rel-problem-i1146-p50720-o410796-g0-c0,1146,50720,410796,0,0,0,2,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2056900413302505473\REL_AT\AT.xml,rel,2056900413302505473,rel-problem-i1488-p88129-o611077-g0-c0,1488,88129,611077,0,0,0,2,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2056985670617923585\REL_AT\AT.xml,rel,2056985670617923585,rel-problem-i1304-p72447-o560049-g0-c0,1304,72447,560049,0,0,0,3,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2057053383725940737\REL_AT\AT.xml,rel,2057053383725940737,rel-problem-i1331-p77315-o477596-g0-c0,1331,77315,477596,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2057184889383419905\REL_AT\AT.xml,rel,2057184889383419905,rel-problem-i1694-p75131-o745454-g0-c0,1694,75131,745454,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2057185936524967937\REL_AT\AT.xml,rel,2057185936524967937,rel-problem-i2030-p111095-o1038418-g0-c0,2030,111095,1038418,0,0,0,5,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2057264112374644737\REL_AT\AT.xml,rel,2057264112374644737,rel-problem-i1384-p86647-o437951-g0-c0,1384,86647,437951,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2057378454151626753\REL_AT\AT.xml,rel,2057378454151626753,rel-problem-i1280-p65246-o608524-g0-c0,1280,65246,608524,0,0,0,2,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2057389184309526529\REL_AT\AT.xml,rel,2057389184309526529,rel-problem-i1906-p114845-o617290-g0-c0,1906,114845,617290,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2057411924957593601\REL_AT\AT.xml,rel,2057411924957593601,rel-problem-i1497-p92119-o614634-g0-c0,1497,92119,614634,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2057437677568917505\REL_AT\AT.xml,rel,2057437677568917505,rel-problem-i1497-p92223-o614558-g0-c0,1497,92223,614558,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2057668304654303233\REL_AT\AT.xml,rel,2057668304654303233,rel-problem-i2987-p178299-o1320098-g0-c0,2987,178299,1320098,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2057768239185788929\REL_AT\AT.xml,rel,2057768239185788929,rel-problem-i2511-p119672-o1304367-g0-c0,2511,119672,1304367,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2057812610119630849\REL_AT\AT.xml,rel,2057812610119630849,rel-problem-i1077-p67378-o480023-g0-c0,1077,67378,480023,0,0,0,2,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2057827565493551105\REL_AT\AT.xml,rel,2057827565493551105,rel-problem-i2523-p140637-o908122-g0-c0,2523,140637,908122,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2057905478112903169\REL_AT\AT.xml,rel,2057905478112903169,rel-problem-i3658-p195594-o1260114-g0-c0,3658,195594,1260114,0,0,0,7,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2058024841017032705\REL_AT\AT.xml,rel,2058024841017032705,rel-problem-i1164-p63276-o469018-g0-c0,1164,63276,469018,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2058033635751100417\REL_AT\AT.xml,rel,2058033635751100417,rel-problem-i2292-p119030-o1249067-g0-c0,2292,119030,1249067,0,0,0,6,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2058111991213457409\REL_AT\AT.xml,rel,2058111991213457409,rel-problem-i1058-p57996-o540919-g0-c0,1058,57996,540919,0,0,0,3,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2058840117837037569\REL_AT\AT.xml,rel,2058840117837037569,rel-problem-i1221-p66684-o587174-g0-c0,1221,66684,587174,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2059121891787931649\REL_AT\AT.xml,rel,2059121891787931649,rel-problem-i1032-p65621-o339845-g0-c0,1032,65621,339845,0,0,0,2,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2059326814576181249\REL_AT\AT.xml,rel,2059326814576181249,rel-problem-i1149-p77254-o434762-g0-c0,1149,77254,434762,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2059476235691491329\REL_AT\AT.xml,rel,2059476235691491329,rel-problem-i1476-p67674-o687683-g0-c0,1476,67674,687683,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2059570662372016129\REL_AT\AT.xml,rel,2059570662372016129,rel-problem-i1069-p58680-o432622-g0-c0,1069,58680,432622,0,0,0,12,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2059877776659316737\REL_AT\AT.xml,rel,2059877776659316737,rel-problem-i1091-p54258-o540568-g0-c0,1091,54258,540568,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2059921046663856129\REL_AT\AT.xml,rel,2059921046663856129,rel-problem-i1046-p65607-o466238-g0-c0,1046,65607,466238,0,0,0,2,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2059935924984217601\REL_AT\AT.xml,rel,2059935924984217601,rel-problem-i1180-p71491-o539184-g0-c0,1180,71491,539184,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2059960557150142465\REL_AT\AT.xml,rel,2059960557150142465,rel-problem-i1230-p58682-o505119-g0-c0,1230,58682,505119,0,0,0,4,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2059967632240541697\REL_AT\AT.xml,rel,2059967632240541697,rel-problem-i1091-p73612-o380674-g0-c0,1091,73612,380674,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2060162669243006977\REL_AT\AT.xml,rel,2060162669243006977,rel-problem-i1041-p34015-o492248-g0-c0,1041,34015,492248,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2060217541367693313\REL_AT\AT.xml,rel,2060217541367693313,rel-problem-i2102-p128613-o805280-g0-c0,2102,128613,805280,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2060242773205843969\REL_AT\AT.xml,rel,2060242773205843969,rel-problem-i1436-p78863-o688171-g0-c0,1436,78863,688171,0,0,0,1,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2060303549933289473\REL_AT\AT.xml,rel,2060303549933289473,rel-problem-i1310-p72949-o610152-g0-c0,1310,72949,610152,0,0,0,2,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2060635039690915841\REL_AT\AT.xml,rel,2060635039690915841,rel-problem-i1000-p56749-o529751-g0-c0,1000,56749,529751,0,0,0,2,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2060736013159890945\REL_AT\AT.xml,rel,2060736013159890945,rel-problem-i1145-p75537-o453059-g0-c0,1145,75537,453059,0,0,0,2,武汉大势智慧科技有限公司,云端地球
C:\zuo\Projects\REL\2060956653515177985\REL_AT\AT.xml,rel,2060956653515177985,rel-problem-i1605-p89888-o616023-g0-c0,1605,89888,616023,0,0,0,1,武汉大势智慧科技有限公司,云端地球
